Designator,Mid X,Mid Y,Rotation,Layer
BT1,104.0,-116.0,0.0,bottom
D1,127.17,-121.5,0.0,top
D2,146.63,-121.5,0.0,top
D3,136.395,-121.5,0.0,top
Q1,91.23,-123.365,0.0,top
R1,135.7,-112.0,0.0,top
R2,121.19,-117.5,0.0,bottom
R3,117.0,-110.31,270.0,top
R4,109.19,-103.0,0.0,top
R5,117.69,-124.0,0.0,top
R6,109.81,-130.5,0.0,top
R7,99.19,-130.5,0.0,top
R8,89.5,-113.94,90.0,top
SW1,146.75,-109.25,0.0,top
